Year,Region,Fitted Values,Lower Bound,Upper Bound
2021,Republic of Karelia,26.68328,-1837.5106,1890.8772
2022,Republic of Karelia,99.96218,-1764.2318,1964.1561
2023,Republic of Karelia,118.58105,-1745.6129,1982.775
2024,Republic of Karelia,43.42077,-1820.7733,1907.6146
2019,Republic of Khakassia,243.91144,-1620.2826,2108.1052
2020,Republic of Khakassia,148.46805,-1715.726,2012.662
2021,Republic of Khakassia,88.30508,-1775.8888,1952.499
2022,Republic of Khakassia,263.81018,-1600.3839,2128.004
2023,Republic of Khakassia,129.12897,-1735.0651,1993.3229
2024,Republic of Khakassia,251.20862,-1612.9852,2115.4026
2019,Republic of Mordovia,74.710075,-1789.4838,1938.904
2020,Republic of Mordovia,63.172783,-1801.0211,1927.3667
2021,Republic of Mordovia,69.39907,-1794.7948,1933.593
2022,Republic of Mordovia,244.78577,-1619.4081,2108.9797
2023,Republic of Mordovia,62.905052,-1801.289,1927.099
2024,Republic of Mordovia,135.00262,-1729.1913,1999.1967
2019,Republic of North Ossetia — Alania,68.783714,-1795.4103,1932.9777
2020,Republic of North Ossetia — Alania,68.783714,-1795.4103,1932.9777
2021,Republic of North Ossetia — Alania,29.082512,-1835.1115,1893.2764
2022,Republic of North Ossetia — Alania,66.26455,-1797.9293,1930.4585
2023,Republic of North Ossetia — Alania,101.35946,-1762.8344,1965.5535
2024,Republic of North Ossetia — Alania,72.39089,-1791.8031,1936.585
2019,Republic of Tatarstan,665.30615,-1198.8878,2529.5
2020,Republic of Tatarstan,255.09464,-1609.0995,2119.2883
2021,Republic of Tatarstan,160.09073,-1704.1031,2024.2847
2022,Republic of Tatarstan,333.15726,-1531.0367,2197.351
2023,Republic of Tatarstan,423.66193,-1440.5321,2287.8557
2024,Republic of Tatarstan,771.28357,-1092.9104,2635.4773
2019,Rostov Oblast,343.7832,-1520.4108,2207.977
2020,Rostov Oblast,322.32507,-1541.8688,2186.519
2021,Rostov Oblast,167.05322,-1697.1407,2031.2471
2022,Rostov Oblast,480.08557,-1384.1083,2344.2795
2023,Rostov Oblast,402.05322,-1462.1407,2266.247
2024,Rostov Oblast,477.9067,-1386.2872,2342.1006
2019,Ryazan Oblast,79.14785,-1785.046,1943.3418
2020,Ryazan Oblast,108.03799,-1756.1559,1972.2319
2021,Ryazan Oblast,74.200645,-1789.9933,1938.3945
2022,Ryazan Oblast,184.64175,-1679.5521,2048.8357
2023,Ryazan Oblast,163.72717,-1700.4667,2027.9211
2024,Ryazan Oblast,285.23596,-1578.9579,2149.43
2019,Saint Petersburg,771.8992,-1092.2949,2636.093
2020,Saint Petersburg,1124.4196,-739.7744,2988.6133
2021,Saint Petersburg,502.89816,-1361.2958,2367.092
2022,Saint Petersburg,2494.1538,629.95996,4358.3477
2023,Saint Petersburg,2068.7085,204.51453,3932.9023
2024,Saint Petersburg,2008.9164,144.72238,3873.11
2019,Sakha (Yakutia) Republic,1662.469,-201.72491,3526.6628
2020,Sakha (Yakutia) Republic,3029.723,1165.5292,4893.917
2021,Sakha (Yakutia) Republic,2752.824,888.6302,4617.018
2022,Sakha (Yakutia) Republic,9567.161,7702.9673,11431.355
2023,Sakha (Yakutia) Republic,8260.859,6396.6655,10125.054
2024,Sakha (Yakutia) Republic,5760.632,3896.438,7624.8257
2019,Sakhalin District,2091.0566,226.8627,3955.2502
2020,Sakhalin District,2608.2788,744.085,4472.473
2021,Sakhalin District,886.53503,-977.6588,2750.729
2022,Sakhalin District,4403.662,2539.468,6267.8555
2023,Sakhalin District,4035.399,2171.2048,5899.593
2024,Sakhalin District,3727.5635,1863.3698,5591.7573
2019,Samara Oblast,649.4197,-1214.7743,2513.6135
2020,Samara Oblast,295.0591,-1569.1349,2159.253
2021,Samara Oblast,356.4222,-1507.7719,2220.6162
2022,Samara Oblast,1080.2623,-783.9315,2944.4563
2023,Samara Oblast,590.2587,-1273.9352,2454.4526
2024,Samara Oblast,561.29315,-1302.9008,2425.487
2019,Saratov Oblast,162.66464,-1701.5292,2026.8586
2020,Saratov Oblast,202.74915,-1661.4447,2066.943
2021,Saratov Oblast,158.11896,-1706.0751,2022.3129
2022,Saratov Oblast,349.7869,-1514.4071,2213.9807
2023,Saratov Oblast,358.57248,-1505.6215,2222.7664
2024,Saratov Oblast,427.0532,-1437.1407,2291.247
2019,Smolensk Oblast,109.42358,-1754.7704,1973.6174
2020,Smolensk Oblast,535.69214,-1328.5018,2399.886
2021,Smolensk Oblast,81.65606,-1782.538,1945.85
2022,Smolensk Oblast,160.84058,-1703.3534,2025.0345
2023,Smolensk Oblast,125.46969,-1738.7242,1989.6636
2024,Smolensk Oblast,120.26528,-1743.9286,1984.4592
2019,Stavropol Krai,276.74405,-1587.4498,2140.938
2020,Stavropol Krai,166.74039,-1697.4537,2030.9342
2021,Stavropol Krai,168.11447,-1696.0795,2032.3083
2022,Stavropol Krai,343.48264,-1520.7113,2207.6765
2023,Stavropol Krai,212.11264,-1652.0814,2076.3064
2024,Stavropol Krai,461.79953,-1402.3943,2325.9934
2019,Sverdlovsk Oblast,873.07544,-991.1185,2737.2693
2020,Sverdlovsk Oblast,572.11053,-1292.0835,2436.3044
2021,Sverdlovsk Oblast,543.52686,-1320.667,2407.7207
2022,Sverdlovsk Oblast,1135.045,-729.1489,2999.239
2023,Sverdlovsk Oblast,892.6821,-971.5117,2756.876
2024,Sverdlovsk Oblast,1304.5507,-559.6433,3168.7444
2019,Tambov Oblast,66.26455,-1797.9293,1930.4585
2020,Tambov Oblast,59.630302,-1804.5636,1923.8242
2021,Tambov Oblast,15.256828,-1848.9369,1879.4508
2022,Tambov Oblast,113.86266,-1750.3314,1978.0566
2023,Tambov Oblast,92.28747,-1771.9064,1956.4814
2024,Tambov Oblast,654.3995,-1209.7944,2518.5933
2019,The Kabardino-Balkar Republic,51.74633,-1812.4476,1915.9403
2020,The Kabardino-Balkar Republic,72.4865,-1791.7074,1936.6804
2021,The Kabardino-Balkar Republic,43.63009,-1820.5638,1907.8241
2022,The Kabardino-Balkar Republic,41.906242,-1822.2877,1906.1002
2023,The Kabardino-Balkar Republic,135.98471,-1728.2094,2000.1786
2024,The Kabardino-Balkar Republic,257.4141,-1606.7799,2121.608
2019,Tomsk District,760.87054,-1103.3235,2625.0642
2020,Tomsk District,403.86252,-1460.3314,2268.0564
2021,Tomsk District,345.86203,-1518.3319,2210.056
2022,Tomsk District,1412.376,-451.81793,3276.5698
2023,Tomsk District,874.0426,-990.15125,2738.2366
2024,Tomsk District,579.8258,-1284.368,2444.0198
2019,Tula Oblast,372.41132,-1491.7826,2236.6052
2020,Tula Oblast,145.92722,-1718.2667,2010.1212
2021,Tula Oblast,108.74346,-1755.4506,1972.9374
2022,Tula Oblast,408.039,-1456.1549,2272.233
2023,Tula Oblast,288.60602,-1575.588,2152.7998
2024,Tula Oblast,257.1523,-1607.0416,2121.3462
2019,Tver Oblast,139.30658,-1724.8873,2003.5005
2020,Tver Oblast,102.111595,-1762.0822,1966.3057
2021,Tver Oblast,108.74346,-1755.4506,1972.9374
2022,Tver Oblast,266.9958,-1597.1981,2131.1897
2023,Tver Oblast,247.91571,-1616.2782,2112.1096
2024,Tver Oblast,1235.9889,-628.2051,3100.1826
2019,Tyumen Oblast,303.98288,-1560.211,2168.1768
2020,Tyumen Oblast,1332.7314,-531.4624,3196.9253
2021,Tyumen Oblast,802.3046,-1061.8894,2666.4983
2022,Tyumen Oblast,2682.2373,818.0434,4546.4316
2023,Tyumen Oblast,1583.8688,-280.3252,3448.0625
2024,Tyumen Oblast,1231.1411,-633.05286,3095.335
2019,Tyva Republic,324.17514,-1540.0187,2188.3691
2020,Tyva Republic,446.0894,-1418.1046,2310.2832
2021,Tyva Republic,111.751884,-1752.442,1975.9458
2022,Tyva Republic,278.03937,-1586.1547,2142.2334
2023,Tyva Republic,296.248,-1567.9459,2160.442
2024,Tyva Republic,194.36969,-1669.8243,2058.5635
2019,Udmurt Republic,59.5942,-1804.5997,1923.7882
2020,Udmurt Republic,36.630424,-1827.5636,1900.8243
2021,Udmurt Republic,63.856346,-1800.3375,1928.0503
2022,Udmurt Republic,134.82617,-1729.3678,1999.02
2023,Udmurt Republic,108.432304,-1755.7616,1972.6262
2024,Udmurt Republic,377.0168,-1487.1771,2241.2107
2019,Ulyanovsk Oblast,275.80652,-1588.3876,2140.0002
2020,Ulyanovsk Oblast,110.96731,-1753.2267,1975.1613
2021,Ulyanovsk Oblast,87.23022,-1776.9637,1951.4241
